Code,Updated name,E1,E2,E3,P,Total reports,FES,References
2243,Russula foetens,3,0,2,7,12,E2,"(Chang & Mao, 1995; Chen, Yang, Bau, & Li, 2016; Gennari, 2000; Hongo & Izawa, 1994; Hossain & Park, 2016; Jones, Whalley, & Hywel-Jones, 1994; Liu & Yang, 1982; Mao, 2000; Sergeeva, 2000; Thoen & Ba, 1989; Vasil'eva, 1978; Zerova & Rozhenko, 1988)"
2244,Russula fragilis,1,0,0,2,3,U,"(Laessoe & del-Conte, 1996; Mao, 2000; Vasil'eva, 1978)"
2245,Russula furcata,1,0,0,0,1,E1,"(Wu, et al., 2019)"
2246,Russula gracillima,0,0,1,0,1,E3,"(Hongo & Izawa, 1994)"
2247,Russula granulata,1,0,0,0,1,E1,"(Wu, et al., 2019)"
2248,Russula grata,3,0,1,4,8,U,"(Arora, 1991; Chen, Yang, Bau, & Li, 2016; Hongo & Izawa, 1994; Mao, 2000; Wang & Liu, 2002; Wu, et al., 2019)"
2249,Russula graveolens,2,0,0,0,2,E1,"(Gerhardt, 1994; Gerhardt, 2001)"
2250,Russula grisea,3,0,0,0,3,E1,"(Mao, 2000; Wu, et al., 2019; Yorou & De-Kesel, 2002)"
2251,Russula griseocarnosa,1,0,0,0,1,E1,"(Wu, et al., 2019)"
2252,Russula heimii,1,0,0,0,1,E1,"(Härkönen, Saarimäki, & Mwasumbi, 1994)"
2253,Russula herrerae,1,0,0,0,1,E1,"(Garibay-Orijel & Ruan-Soto, 2014)"
2254,Russula heterophylla,8,0,1,0,9,E1,"(Ao, Seb, Ajungla, & Deb, 2016; Cooke, 1891; Gennari, 2000; Jones, Whalley, & Hywel-Jones, 1994; Locsmándi-Vasas, 1995; Mao, 2000; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2255,Russula hiemisilvae,2,0,0,0,2,E1,"(Degreef, Malaisse, Rammeloo, & Baudart, 1997; Härkönen, Saarimäki, & Mwasumbi, 1994)"
2256,Russula ilicis,1,0,0,0,1,E1,"(Gennari, 2000)"
2257,Russula integra,4,0,0,0,4,E1,"(Ahmad, Iqbal, & Khalid, 1997; Laessoe & del-Conte, 1996; Wu, et al., 2019; Yamada, 2002)"
2258,Russula ionochlora,2,0,0,0,2,E1,"(Gerhardt, 1994; Gerhardt, 2001)"
2259,Russula kanadii,1,0,0,0,1,E1,"(Dutta & Acharya, 2014)"
2260,Russula kansaiensis,0,0,1,0,1,E3,"(Hongo & Izawa, 1994)"
2261,Russula lepidicolor,2,0,0,0,2,E1,"(Mao, 2000; Wu, et al., 2019)"
2262,Russula liberiensis,1,0,0,0,1,E1,"(Härkönen, Saarimaki, & Mwasumbi, 1994b)"
2263,Russula lilacea,4,0,1,0,5,E1,"(Chang & Mao, 1995; Hongo & Izawa, 1994; Mao, 2000; Wu, et al., 2019; Yamada, 2002)"
2264,Russula livescens,1,0,0,0,1,E1,"(Wu, et al., 2019)"
2265,Russula luteotacta,2,0,0,0,2,E1,"(Mao, 2000; Seok, Jin, Kwon, Kim, & Kim, 2013)"
2266,Russula macropoda,1,0,0,0,1,E1,"(Montoya-Esquivel, 1998)"
2267,Russula maculata,0,0,1,0,1,E3,"(Zerova & Rozhenko, 1988)"
2268,Russula madagassensis,1,0,1,0,2,E1,"(Bouriquet, 1970; Walleyn & Rammeloo, 1994)"
2269,Russula mariae,3,0,1,0,4,E1,"(Hongo & Izawa, 1994; Mao, 2000; Montoya-Esquivel, Estrada-Torres, Kong, & Juarez-Sanchez, 2001; Wu, et al., 2019)"
2270,Russula medullata,1,0,0,0,1,E1,"(Galli, 1996)"
2271,Russula meleagris,1,0,0,0,1,E1,"(De-Kesel, Codjia, & Yorou, 2002)"
2272,Russula melitodes,3,0,1,0,4,E1,"(Cooke, 1891; Gerhardt, 2001; Mao, 2000; Zerova & Rozhenko, 1988)"
2273,Russula melliolens,2,0,1,0,3,E1,"(Wang & Liu, 2002; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2274,Russula mexicana,1,0,0,0,1,E1,"(Zamora-Martinez, Reygadas, & Cifuentes, 1994)"
2275,Russula minutula,1,0,0,0,1,E1,"(Sáenz, Lizano, & Nassar, 1983)"
2276,Russula mollis,2,0,0,0,2,E1,"(Mao, 2000; Wu, et al., 2019)"
2277,Russula monspeliensis,1,0,0,0,1,E1,"(Gennari, 2000)"
2278,Russula mustelina,4,0,1,0,5,E1,"(Gerhardt, 2001; Mao, 2000; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2279,Russula nauseosa,1,0,1,0,2,E1,"(Hongo & Izawa, 1994; Wu, et al., 2019)"
2280,Russula nigrovirens,1,0,0,0,1,E1,"(Wu, et al., 2019)"
2281,Russula nitida,4,0,0,0,4,E1,"(El'chibaev, 1964; Gerhardt, 2001; Mao, 2000; Wu, et al., 2019)"
2282,Russula ochroleuca,6,1,1,0,8,E2,"(Gerhardt, 2001; Mao, 2000; Montoya-Esquivel, Estrada-Torres, Kong, & Juarez-Sanchez, 2001; Rammeloo & Walleyn, 1993; Seok, Jin, Kwon, Kim, & Kim, 2013; Wang & Liu, 2002; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2283,Russula odorata,1,0,0,0,1,E1,"(Galli, 1996)"
2284,Russula oleifera,1,0,0,0,1,E1,"(De-Kesel, Codjia, & Yorou, 2002)"
2285,Russula olivacea,7,0,2,0,9,E1,"(Gennari, 2000; Gerhardt, 2001; Hongo & Izawa, 1994; Iordanov, Vanev, & Fakirova, 1978; Mao, 2000; Secretariat of Environment and Natural Resources, 2020; Villarreal & Perez-Moreno, 1989a; Wu, et al., 2019; Yamada, 2002)"
2286,Russula omiensis,0,0,1,0,1,E3,"(Hongo & Izawa, 1994)"
2287,Russula ornaticeps,1,0,0,0,1,E1,"(Montoya-Esquivel, 1998)"
2288,Russula paludosa,5,0,1,0,6,E1,"(Gerhardt, 2001; Laessoe & del-Conte, 1996; Mao, 2000; Sergeeva, 2000; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2289,Russula parazurea,3,0,0,0,3,E1,"(Gerhardt, 2001; Mao, 2000; Wu, et al., 2019)"
2290,Russula pectinata,0,0,2,0,2,E3,"(Thoen & Ba, 1989; Zerova & Rozhenko, 1988)"
2291,Russula pectinatoides,3,0,1,0,4,E1,"(Hongo & Izawa, 1994; Mao, 2000; Vasil'eva, 1978; Wu, et al., 2019)"
2292,Russula phaeocephala,2,0,0,0,2,E1,"(Buyck, 1994a; Härkönen, Saarimäki, & Mwasumbi, 1994)"
